"","reef_no","replicate","perimeter_m","area_m2","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
"187",22,3,122.36,1155.09,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
"188",22,1,110.75,731.82,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"189",22,2,101.44,684.26,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"190",22,3,109.64,725.97,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"191",22,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"192",22,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"193",22,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"194",22,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"195",22,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"196",22,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"197",20,1,141,1582.079712,NA,20220923,"transect","boat",NA,NA,"transect tape","KV",NA
"198",20,1,187.7246,2804.351911,NA,20220923,"GPS","boat",NA,NA,"floating GPS","KV",NA
"199",20,1,131.94,1385.297644,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"200",20,2,135.47,1460.415379,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"201",20,3,139.01,1537.737561,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"202",20,1,134.35,1436.367194,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"203",20,2,138.94,1536.189262,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"204",20,3,139.51,1548.81952,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"205",20,1,146.23,1701.622016,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KV",NA
"206",20,2,148.61,1757.463056,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KV",NA
"207",20,3,145.74,1690.237241,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KV",NA
"208",20,1,160.95,2061.446642,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"209",20,2,154.59,1901.747834,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"210",20,3,165.48,2179.120069,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"211",20,1,123.28,1209.415102,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"212",20,2,128.04,1304.612294,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"213",20,3,118.89,1124.814199,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"214",20,1,208.52,3460.075445,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"215",20,2,195.25,3033.697133,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"216",20,3,174.61,2426.209845,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"217",20,1,375.17,11200.73036,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"218",20,2,329.04,8615.639704,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"219",20,3,349.45,9717.62701,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"220",22,1,105.75,889.9198379,NA,20220923,"transect","boat",NA,NA,"transect tape","KV",NA
"221",22,1,138.4875,1526.199429,NA,20220923,"GPS","boat",NA,NA,"floating GPS","KV",NA
"222",22,1,116.84,1086.358665,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"223",22,2,110.32,968.4978084,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"224",22,3,112.39,1005.183795,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KV",NA
"225",22,1,116.5,1080.045338,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"226",22,2,122.6,1196.109876,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"227",22,3,121.27,1170.299154,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KV",NA
"228",22,1,129.46,1333.709797,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KV",NA
"229",22,2,125.83,1259.965139,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KV",NA
"230",22,3,126.02,1263.773041,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KV",NA
